Sample	Kaiju_mqc-generalstats-kaiju-Assigned	Kaiju_mqc-generalstats-kaiju-Unclassified	Kaiju_mqc-generalstats-kaiju-assigned	Kraken_mqc-generalstats-kraken-Muribaculum_gordoncarteri	Kraken_mqc-generalstats-kraken-Top_5	Kraken_mqc-generalstats-kraken-Unclassified
Sample13	39.48935217752766	24.101703225256337	370497	0.8047153119737376	3.510050947538957	81.69992112724096
Sample22	33.00450625803636	28.31112644654422	223826	1.5238112090219533	7.143362706585979	73.90720293496597
Sample25	38.551303179324215	23.943198058307672	352298	1.2524046826475475	4.57704942429873	80.08813339723935
Sample3	35.78642428398433	22.492539285453	327731	3.339277154216491	7.753792598141291	76.68227784104992
Sample30	37.05267177915157	20.425957056490798	325992	5.549398902259246	11.887038861932222	70.10014696405007
Sample31	40.20488358735882	24.010342862338366	362599	1.3508478973874516	3.9016363632331643	81.60172440174836
Sample4	39.528634546044685	26.751446796953832	358048	1.0234115041609904	3.9240710360192277	82.10752113615237
Sample6	35.78745345380891	24.86553993581668	296299	2.6218051769389366	7.799468802728697	76.19129865533897
