ViralOTU	SRR8653090	SRR8653247	SRR8653248	SRR8652861	SRR8653245	SRR8653221	SRR8653084	SRR8653218	SRR8652914	SRR8652969
vOTU_1467	0	0	0	169	9	0	4	1	0	0
vOTU_1142	0	28	269	0	8	492	0	53	0	0
vOTU_1322	0	0	145	14	16	4	294	3	0	0
vOTU_311	0	0	40	2153	9	1347	0	0	0	0
vOTU_762	0	0	365	0	0	0	0	0	0	0
vOTU_556	0	0	0	0	0	1736	0	0	0	2
vOTU_257	29	74	93	20	7	116	198	0	217	1818
vOTU_347	83	57	2	9	5	41	2890	0	157	425
vOTU_445	104	0	37	0	15	0	38	2	12346	139
vOTU_689	57	1	9	0	0	23	34	0	540	327
vOTU_232	2	24	268	318	251	55	436	1735	0	81
vOTU_174	2504	191	0	214	0	1	1	0	163	0
vOTU_1599	0	12	208	112	304	359	0	1074	7	657
vOTU_117	0	44	596	1063	1548	850	0	8245	10	415
vOTU_869	0	0	0	476	0	0	0	0	0	0
vOTU_555	279	524	5	140	111	281	2264	1	16285	2878
vOTU_1433	0	0	0	0	0	307	0	0	0	0
vOTU_1549	42	1412	4	28	4	26	535	24	7056	604
vOTU_1409	2	5	161	331	244	1011	0	32	2	1209
vOTU_33	280	186	850	2358	1164	2677	0	26062	27	30629
vOTU_408	0	0	0	136	7	1	1460	228	0	0
vOTU_1176	0	0	0	143	0	0	0	0	0	0
vOTU_480	2	0	363	1408	0	54	0	4411	0	4209
vOTU_1033	0	0	0	122	3546	0	0	14	0	2
vOTU_1254	14	5	44	245	95	109	56	1172	6	873
vOTU_1532	0	6	37	96	346	21	0	573	7	2492
vOTU_1661	0	0	1	0	0	16	257	0	0	0
vOTU_1073	0	80	0	2	0	466	133	0	0	0
vOTU_447	0	31	497	1380	1323	0	0	0	2	1073
vOTU_3	0	0	0	28	14891	26	0	0	2	0
vOTU_593	0	0	507	0	0	0	0	0	0	0
vOTU_1246	0	15	365	777	1040	464	0	1428	11	532
vOTU_652	0	0	28	2	223	12	514	70	0	1
vOTU_1720	0	7	0	0	0	152	0	0	0	0
vOTU_1753	55	1693	14	9	2	51	15	3	5860	1026
vOTU_217	0	0	13	0	24	0	1163	0	0	0
vOTU_1219	0	0	20	0	44	0	348	0	0	0
vOTU_1241	3056	1393	8276	10603	2766	1381	1585	2870	1055	3168
vOTU_95	0	0	0	682	0	6	0	10529	0	0
vOTU_1249	0	0	2	1	0	2	30	0	2	363
vOTU_565	15	31	5	5	34	29	25	3	772	29
vOTU_1761	0	0	0	0	0	138	0	0	0	0
vOTU_181	2	130	509	588	1547	5677	5	2229	25	1938
vOTU_221	0	3	0	0	0	1557	5	0	0	0
vOTU_63	0	0	0	140	0	0	0	2	0	4858
vOTU_1138	0	6	263	2	1	89	57	7	0	0
vOTU_60	0	0	0	13508	0	0	0	4	0	947
vOTU_847	0	41	400	619	828	441	5111	311	5	38
vOTU_1035	0	0	0	4	0	43	551	1	0	0
vOTU_204	0	18	0	11	2	46	1941	3	0	835
vOTU_1492	0	27	0	0	2	555	214	0	2	0
vOTU_549	61	6	0	2	0	92	303	0	709	208
vOTU_1069	0	67	73	3090	188	71	0	68	3	1311
vOTU_1750	0	0	61	0	0	153	0	0	0	0
vOTU_586	218	28	17	1811	88	866	0	46	6	2135
vOTU_1074	0	0	15	59	0	0	2	0	309	2
vOTU_1573	70	3585	13	126	0	188	703	0	7018	2371
vOTU_37	0	0	16	19	15	6	5908	10	0	0
vOTU_936	0	0	0	0	0	398	0	0	0	0
vOTU_106	0	0	0	0	2	0	0	0	0	15861
vOTU_406	0	0	0	1262	0	6573	0	0	0	0
vOTU_367	0	81	204	43	107	1674	207	1036	0	0
vOTU_441	4602	0	0	928	1252	4	1	794	1	0
vOTU_1694	0	0	0	4	149	0	0	0	0	0
vOTU_1043	0	36	339	0	51	571	4	0	0	3
vOTU_641	0	0	73	0	2224	0	0	0	0	0
vOTU_258	34	449	2	140	4	12	70	15	7449	1482
vOTU_1736	0	0	0	141	0	9	0	0	0	0
vOTU_630	0	0	0	0	0	585	0	0	0	0
vOTU_1728	4	33	434	24	0	151	2	9004	1	897
vOTU_724	89	136	1	12	21	6	18	1	1372	53
vOTU_872	0	0	0	25	0	799	0	0	0	0
vOTU_393	16	70	191	499	1572	848	1	2321	13	1263
vOTU_927	0	1	0	0	0	15	447	0	0	0
vOTU_508	53	147	3	20	49	58	926	15	303	770
vOTU_560	0	0	0	0	0	809	0	0	0	0
vOTU_871	0	0	2	43	35	0	673	10	0	6
vOTU_813	0	0	0	0	0	311	0	0	0	0
vOTU_1336	0	0	0	14	0	10	0	0	253	381
vOTU_1382	0	0	18	17	29	57	0	62	1	767
vOTU_298	2	0	0	0	0	19	1554	0	0	0
vOTU_1269	0	0	177	716	0	24	0	2295	0	2395
vOTU_141	0	75	0	0	2	2613	0	400	0	0
vOTU_1048	7	0	0	0	0	2	19	0	316	26
vOTU_434	0	61	315	0	1288	1213	262	13	3	0
vOTU_597	0	0	0	581	0	2993	0	0	0	0
vOTU_878	0	0	0	282	0	223	0	0	0	0
vOTU_36	0	0	0	0	0	107280	0	0	2	0
vOTU_498	1466	23	0	6	0	6	4	2	97	21
vOTU_1412	0	47	225	17	977	781	100	123	0	0
vOTU_238	648	369	10199	879	751	57	220	2	71	328
vOTU_1202	0	0	0	252	0	32	0	0	0	8
vOTU_1006	0	54	150	23	59	689	165	435	0	10
vOTU_499	6	76	32	44	13	88	51	0	924	18
vOTU_1574	89	10	5	761	178	437	0	30	6	982
vOTU_671	39	74	25	460	99	1488	0	225	3	432
vOTU_886	497	446	44	240	107	57	35	2	82	93
vOTU_1110	2	3	0	0	0	0	4	0	339	22
vOTU_268	274	1452	31	29	1	45	1790	0	1808	501
vOTU_1206	0	0	0	167	824	278	0	0	0	190
vOTU_761	0	0	5	719	118	35	2629	1052	0	416
vOTU_1205	0	0	5	0	0	233	0	0	0	0
vOTU_286	0	24	9	1715	41	164	4857	19	0	663
vOTU_629	0	0	0	1956	0	2	0	0	0	0
vOTU_1207	0	0	281	0	0	0	0	0	0	0
vOTU_883	658	231	1846	260	536	35	267	0	59	113
vOTU_960	4	0	0	261	0	2	0	0	0	0
vOTU_1536	0	0	206	0	0	0	0	0	0	0
vOTU_625	0	0	114	22	225	36	840	42	2	21
vOTU_1352	2	0	0	255	2039	0	0	13	1	0
vOTU_1698	0	0	0	0	0	119	0	0	0	0
vOTU_300	0	158	164	2	2632	1711	1011	87	8	0
vOTU_1272	206	769	30	267	206	65	281	21	971	526
vOTU_633	0	20	142	931	143	275	3188	877	0	491
vOTU_203	0	98	602	0	763	4199	561	47	2	29
vOTU_1749	0	0	0	4	0	7	0	223	0	0
vOTU_1497	0	0	9	387	72	35	305	133	0	24
vOTU_251	0	4	3	210	16	2	4586	202	0	122
vOTU_1610	0	0	7	0	0	186	0	0	0	0
vOTU_1582	58	31	334	379	986	206	0	652	0	282
vOTU_179	0	0	0	0	3361	5	0	42	6	0
vOTU_951	0	0	0	404	0	190	0	0	0	0
vOTU_1363	16	185	8	242	0	12	43	0	111	144
vOTU_1037	0	1	8	0	1	51	580	0	0	0
vOTU_373	3219	291	9	32	63	382	375	29	1824	630
vOTU_46	0	0	0	0	7958	0	0	0	2	3
vOTU_479	764	4148	167	41	14	82	2103	11	6331	632
vOTU_1065	7	1	0	2	0	271	0	0	10	1315
vOTU_590	5	12	194	455	463	263	2	674	1	1539
vOTU_218	0	0	3226	0	0	1	0	0	0	0
vOTU_280	295	1104	43	91	297	1022	516	29	1180	1750
vOTU_135	1	12	400	6	9991	15	4	50	29	537
vOTU_108	22	224	575	1673	2882	5202	2	2628	52	832
vOTU_1375	0	0	0	0	0	252	0	0	0	0
vOTU_378	615	135	9469	206	489	47	679	0	17	79
vOTU_1654	0	17	178	0	43	752	3	1	0	0
vOTU_1441	2	43	222	272	407	972	0	1874	7	982
vOTU_1712	0	0	0	0	0	199	0	0	1	2
vOTU_1586	0	0	0	0	337	0	141	0	0	0
vOTU_1081	0	0	0	0	419	46	0	0	0	0
vOTU_397	2	0	0	1834	2	144	0	0	0	161
vOTU_801	0	54	0	3	0	348	3522	0	5	0
vOTU_539	0	6	403	0	1683	23	491	322	0	2
vOTU_1112	22	1266	2	46	1	35	449	2	2384	106
vOTU_1360	0	0	0	262	0	0	0	0	0	0
vOTU_1631	0	0	0	0	139	0	0	0	0	0
vOTU_810	1958	4388	46	221	24	373	3704	85	11443	1854
vOTU_700	0	0	0	745	0	12	0	0	0	118
vOTU_183	0	0	17	0	0	16	17	0	64	2626
vOTU_856	0	0	0	0	0	281	0	0	0	0
vOTU_1602	0	0	1	0	0	139	0	0	0	0
vOTU_50	6	19	72	133	5	135	17	1	38229	7439
vOTU_811	2875	86	22	191	2716	59	559	348	3250	317
vOTU_1735	285	1	0	81	34	0	3	82	0	0
vOTU_52	5800	167	23	204	2330	3	694	170	462	261
vOTU_664	1	1	0	0	0	3	836	0	17	25
vOTU_1327	0	0	79	2	0	14	185	4	0	0
vOTU_1704	0	0	0	0	0	2	0	209	0	0
vOTU_9	0	0	1	8	0	0	10331	2	0	0
vOTU_599	0	0	0	548	0	32	7961	0	0	1167
vOTU_450	0	0	12	0	630	9	6	5	0	0
vOTU_1588	211	0	27	11	33	0	0	0	0	0
vOTU_463	1	250	0	0	0	13	1015	0	5325	0
vOTU_1706	0	0	0	6	0	135	0	0	0	23
vOTU_638	0	0	489	0	0	0	0	0	0	0
vOTU_1626	0	0	14	0	441	29	168	1	0	2
vOTU_1040	0	0	0	28	0	0	0	288	0	0
vOTU_501	0	0	0	0	57	0	1529	0	0	0
vOTU_1633	229	179	234	17	15	668	1341	3	764	2143
vOTU_1707	0	0	1	2	0	181	0	0	0	0
vOTU_1237	0	2	22	4	197	8	66	33	0	0
vOTU_1482	0	13	194	419	569	300	535	392	3	37
vOTU_999	2	1	0	0	0	1	238	0	0	18
vOTU_1173	0	4	2	0	0	44	363	219	0	0
vOTU_312	1	90	6	20	0	4	392	0	12372	41
vOTU_1145	0	0	0	249	0	90	0	0	0	2
vOTU_662	0	0	2	0	29	0	658	0	0	0
vOTU_1639	0	0	0	0	0	766	1	0	4	0
vOTU_802	724	0	0	42	3205	0	72	222	47	0
vOTU_1556	0	0	22	4	164	6	80	22	0	2
vOTU_1306	959	0	0	190	1482	0	71	183	77	3
vOTU_1393	9	324	15	99	1	82	6	0	5009	932
vOTU_1597	1	60	2	0	0	156	6	0	5	69
vOTU_467	649	1788	112	1039	216	295	678	16	1857	1001
vOTU_1506	0	0	2	0	0	0	0	0	232	0
vOTU_1023	0	2	33	5	240	22	99	41	0	0
vOTU_1533	0	1	0	294	7	7	104	49	0	25
vOTU_377	0	56	756	0	161	2252	53	7	0	4
vOTU_1093	8	893	39	183	9	36	1151	8	38914	4365
vOTU_532	0	5	92	1	201	22	3544	886	0	53
vOTU_1429	68	4	11	6	0	40	31	0	282	536
vOTU_943	4	28	0	128	0	0	0	0	205	0
vOTU_1372	0	0	2	0	39	42	296	0	0	0
vOTU_452	0	11	19	0	0	2402	29	0	0	0
vOTU_1487	0	8	75	2151	1690	214	6465	211	3	798
vOTU_43	4556	0	6	46	20	0	78	176	0	20
vOTU_635	2	0	17	0	0	0	841	0	13	10
vOTU_716	0	116	0	0	0	180	570	0	0	0
vOTU_139	65	9788	21	1	0	10	253	0	266	169
