Sample	Kraken_mqc-generalstats-kraken-Muribaculum_gordoncarteri	Kraken_mqc-generalstats-kraken-Top_5	Kraken_mqc-generalstats-kraken-Unclassified	fastp_mqc-generalstats-fastp-pct_duplication	fastp_mqc-generalstats-fastp-after_filtering_q30_rate	fastp_mqc-generalstats-fastp-after_filtering_q30_bases	fastp_mqc-generalstats-fastp-after_filtering_gc_content	fastp_mqc-generalstats-fastp-pct_surviving	fastp_mqc-generalstats-fastp-pct_adapter
Sample13	0.6780925582485984	2.9681737758734625	87.8987870648675	5.97215	0.929692	259419455.0	0.481367	94.78501576012285	9.110866402650933
Sample22	1.3032169020065825	5.934517700628753	80.9084179731276	6.4808	0.92477	185307864.0	0.470762	89.42324428386824	17.17648144729555
Sample25	1.082572260850344	3.9420381203752948	86.43266560302547	6.7840300000000004	0.936878	253987342.0	0.481811	93.9621454217923	11.822152578133675
Sample3	3.148186770648954	7.068706274425446	82.41171351292917	6.23174	0.935299	253332728.0	0.485208	92.57066901177102	14.640931168155099
Sample30	5.03087608986971	10.724511171200048	76.98904418810034	6.6123199999999995	0.936921	244331202.0	0.492835	93.13182102065227	12.819390487884915
Sample31	1.1824215692144613	3.3337103244563013	87.85523097359066	8.08223	0.938774	250107875.0	0.479398	91.7155051696102	16.065553931842704
Sample4	0.9471248429554623	3.4809239186834975	87.95277955031719	7.301130000000001	0.936378	251148772.0	0.469206	92.2095730418061	14.168026541222268
Sample6	2.3277020947144784	6.759177284371711	82.68741371667788	7.226979999999999	0.935075	228331113.0	0.482325	89.98136122809402	18.14324140741747
